_id,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
617082fa2299cb9f2c27181f,nm0000123,George Clooney,1961,\N,"actor,producer,director","tt1193138,tt0465538,tt1124035,tt0433383"
617082fa2299cb9f2c271820,nm0000124,Jennifer Connelly,1970,\N,"actress,producer","tt0180093,tt0268978,tt0286716,tt0315983"
617082fa2299cb9f2c271821,nm0000125,Sean Connery,1930,2020,"actor,producer,soundtrack","tt0091605,tt0117500,tt0055928,tt0094226"
617082fa2299cb9f2c271822,nm0000126,Kevin Costner,1955,\N,"actor,producer,soundtrack","tt0099348,tt0102798,tt0119925,tt0103855"
617082fa2299cb9f2c271823,nm0000127,Wes Craven,1939,2015,"writer,producer,director","tt0105121,tt0111686,tt0117571,tt0087800"
617082fa2299cb9f2c271824,nm0000128,Russell Crowe,1964,\N,"actor,soundtrack,producer","tt0119488,tt0268978,tt1707386,tt0172495"
617082fa2299cb9f2c271825,nm0000129,Tom Cruise,1962,\N,"actor,producer,soundtrack","tt0325710,tt0120755,tt0092099,tt0116695"
617082fa2299cb9f2c271826,nm0000130,Jamie Lee Curtis,1958,\N,"actress,producer,director","tt6710474,tt0111503,tt0120694,tt1502407"
617082fa2299cb9f2c271827,nm0000131,John Cusack,1966,\N,"actor,producer,writer","tt0450385,tt0098258,tt0119229,tt0146882"
617082fa2299cb9f2c271828,nm0000132,Claire Danes,1979,\N,"actress,producer,soundtrack","tt0274558,tt0117509,tt0108872,tt1796960"
617082fa2299cb9f2c271829,nm0000108,Luc Besson,1959,\N,"writer,producer,director","tt0100263,tt2872732,tt0119116,tt0110413"
617082fa2299cb9f2c27182a,nm0000109,Yasmine Bleeth,1968,\N,actress,"tt0096542,tt0115285,tt0131857,tt0337851"
617082fa2299cb9f2c27182b,nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director","tt0107616,tt3402236,tt0116477,tt0097499"
617082fa2299cb9f2c27182c,nm0000111,Matthew Broderick,1962,\N,"actor,soundtrack,director","tt0091042,tt0115798,tt0395251,tt0086567"
617082fa2299cb9f2c27182d,nm0000112,Pierce Brosnan,1953,\N,"actor,producer,soundtrack","tt0120347,tt0143145,tt0795421,tt0155267"
617082fa2299cb9f2c27182e,nm0000113,Sandra Bullock,1964,\N,"producer,actress,soundtrack","tt0212346,tt1454468,tt0111257,tt1041829"
617082fa2299cb9f2c27182f,nm0000114,Steve Buscemi,1957,\N,"actor,director,producer","tt0105236,tt4686844,tt0162346,tt0116282"
617082fa2299cb9f2c271830,nm0000133,Geena Davis,1956,\N,"actress,producer,soundtrack","tt0103074,tt0104694,tt0116908,tt0091064"
617082fa2299cb9f2c271831,nm0000134,Robert De Niro,1943,\N,"actor,producer,soundtrack","tt0081398,tt0101540,tt0075314,tt0070379"
617082fa2299cb9f2c271832,nm0000135,John Denver,1943,1997,"music_artist,soundtrack,music_department","tt0120591,tt0299328,tt0076489,tt4649466"
617082fa2299cb9f2c271833,nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0367594,tt0325980,tt0449088,tt0408236"
617082fa2299cb9f2c271834,nm0000137,Bo Derek,1956,\N,"actress,producer,camera_department","tt0083170,tt0086987,tt0099656,tt0114694"
617082fa2299cb9f2c271835,nm0000138,Leonardo DiCaprio,1974,\N,"producer,actor,soundtrack","tt0407887,tt0120338,tt0993846,tt1375666"
617082fa2299cb9f2c271836,nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0160127,tt0129387,tt0259711,tt0119738"
617082fa2299cb9f2c271837,nm0000140,Michael Douglas,1944,\N,"actor,producer,soundtrack","tt1291580,tt0088011,tt0093010,tt0094291"
617082fa2299cb9f2c271838,nm0000141,David Duchovny,1960,\N,"actor,producer,director","tt0106179,tt0251075,tt0904208,tt0120902"
617082fa2299cb9f2c271839,nm0000149,Jodie Foster,1962,\N,"actress,director,producer","tt0094608,tt0102926,tt0476964,tt0075314"
617082fa2299cb9f2c27183a,nm0000150,Michael J. Fox,1961,\N,"actor,producer,miscellaneous","tt0088763,tt0116365,tt0115369,tt0096874"
617082fa2299cb9f2c27183b,nm0000151,Morgan Freeman,1937,\N,"actor,producer,soundtrack","tt0114369,tt0468569,tt0097239,tt0405159"
617082fa2299cb9f2c27183c,nm0000152,Richard Gere,1949,\N,"actor,soundtrack,producer","tt0084434,tt0100405,tt0119395,tt0299658"
617082fa2299cb9f2c27183d,nm0000153,Gina Gershon,1962,\N,"actress,soundtrack,producer","tt0114436,tt0115736,tt0431308,tt1726669"
617082fa2299cb9f2c27183e,nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0104714,tt0118883,tt0117438,tt0112573"
617082fa2299cb9f2c27183f,nm0000155,Whoopi Goldberg,1955,\N,"actress,producer,writer","tt0099653,tt0105417,tt0088939,tt0108147"
617082fa2299cb9f2c271840,nm0000156,Jeff Goldblum,1952,\N,"actor,soundtrack,producer","tt0107290,tt2278388,tt0116629,tt0091064"
617082fa2299cb9f2c271841,nm0000157,Linda Hamilton,1956,\N,"actress,soundtrack","tt0103064,tt0118928,tt0088247,tt6450804"
617082fa2299cb9f2c271842,nm0000158,Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0094737,tt0162222,tt0109830,tt1535109"
617082fa2299cb9f2c271843,nm0000159,Teri Hatcher,1964,\N,"actress,soundtrack,writer","tt0120347,tt0227538,tt0410975,tt0327597"
617082fa2299cb9f2c271844,nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt0139654,tt0381681,tt0112471,tt2209418"
617082fa2299cb9f2c271845,nm0000161,Salma Hayek,1966,\N,"actress,producer,soundtrack","tt0120891,tt0120679,tt0112851,tt1615065"
617082fa2299cb9f2c271846,nm0000162,Anne Heche,1969,2022,"actress,producer,writer","tt0120885,tt0119008,tt0120828,tt0120461"
617082fa2299cb9f2c271847,nm0000163,Dustin Hoffman,1937,\N,"actor,soundtrack,producer","tt0064665,tt0079417,tt0084805,tt0095953"
617082fa2299cb9f2c271848,nm0000164,Anthony Hopkins,1937,\N,"actor,soundtrack,composer","tt0412080,tt0975645,tt0102926,tt0113987"
617082fa2299cb9f2c271849,nm0000165,Ron Howard,1954,\N,"producer,actor,writer","tt0268978,tt0075213,tt0367279,tt0112384"
617082fa2299cb9f2c27184a,nm0000166,Helen Hunt,1963,\N,"actress,producer,director","tt0119822,tt0117998,tt0103484,tt0455805"
617082fa2299cb9f2c27184b,nm0000142,Clint Eastwood,1930,\N,"actor,producer,director","tt0105695,tt0112579,tt0405159,tt1205489"
617082fa2299cb9f2c27184c,nm0000143,Erika Eleniak,1969,\N,actress,"tt0083866,tt0106400,tt0094761,tt0105690"
617082fa2299cb9f2c27184d,nm0000144,Cary Elwes,1962,\N,"actor,producer,soundtrack","tt0387564,tt0093779,tt0119468,tt0107977"
617082fa2299cb9f2c27184e,nm0000145,Sherilyn Fenn,1965,\N,"actress,soundtrack","tt0100935,tt0098936,tt0106471,tt0105046"
617082fa2299cb9f2c27184f,nm0000146,Ralph Fiennes,1962,\N,"actor,producer,director","tt2278388,tt1372686,tt0387131,tt0108052"
617082fa2299cb9f2c271850,nm0000147,Colin Firth,1960,\N,"actor,producer,soundtrack","tt0243155,tt1315981,tt2802144,tt1504320"
617082fa2299cb9f2c271851,nm0000148,Harrison Ford,1942,\N,"actor,writer,producer","tt0106977,tt0090329,tt0076759,tt0082971"
