_id,id,titleText,releaseYear,releaseDate
61e57fd7cc0d1f7890777fb4,tt0001043,"{'text': ""Smith's Knockabout Theatre"", '__typename': 'TitleText'}","{'year': 1909, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777fb6,tt0000991,"{'text': ""On the Little Big Horn or Custer's Last Stand"", '__typename': 'TitleText'}","{'year': 1909, 'endYear': None, '__typename': 'YearRange'}","{'day': 25, 'month': 11, 'year': 1909, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777fb8,tt0001045,"{'text': ""Le songe d'une nuit d'été"", '__typename': 'TitleText'}","{'year': 1910, 'endYear': None, '__typename': 'YearRange'}","{'day': 26, 'month': 5, 'year': 1910, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777fba,tt0000747,"{'text': 'The Red Girl', '__typename': 'TitleText'}","{'year': 1908, 'endYear': None, '__typename': 'YearRange'}","{'day': 15, 'month': 9, 'year': 1908, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f70,tt0000344,"{'text': 'Valse lente', '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f72,tt0000342,"{'text': 'Une rage de dents', '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f74,tt0000323,"{'text': 'Pas Japonais', '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f76,tt0000301,"{'text': 'Faust and Marguerite', '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}","{'day': 28, 'month': 2, 'year': 1900, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f78,tt0000117,"{'text': 'Saída do Pessoal Operário da Fábrica Confiança', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 12, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f7a,tt0000419,"{'text': ""L'équilibriste"", '__typename': 'TitleText'}","{'year': 1902, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f7c,tt0000396,"{'text': 'Fruits de saison', '__typename': 'TitleText'}","{'year': 1902, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f7e,tt0000188,"{'text': 'The Deserter', '__typename': 'TitleText'}","{'year': 1898, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f80,tt0000455,"{'text': 'Le mélomane', '__typename': 'TitleText'}","{'year': 1903, 'endYear': None, '__typename': 'YearRange'}","{'day': 15, 'month': 8, 'year': 1903, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f82,tt0000147,"{'text': 'The Corbett-Fitzsimmons Fight', '__typename': 'TitleText'}","{'year': 1897, 'endYear': None, '__typename': 'YearRange'}","{'day': 22, 'month': 5, 'year': 1897, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f84,tt0000469,"{'text': 'The Sick Kitten', '__typename': 'TitleText'}","{'year': 1903, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1903, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f86,tt0000248,"{'text': 'The Kiss in the Tunnel', '__typename': 'TitleText'}","{'year': 1899, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 11, 'year': 1899, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f88,tt0000526,"{'text': 'Pennsylvania Tunnel Excavation', '__typename': 'TitleText'}","{'year': 1905, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f8a,tt0000218,"{'text': ""L'affaire Dreyfus"", '__typename': 'TitleText'}","{'year': 1899, 'endYear': None, '__typename': 'YearRange'}","{'day': 4, 'month': 11, 'year': 1899, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f8c,tt0000116,"{'text': 'Sac au dos', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f8e,tt0000234,"{'text': 'Cléopâtre', '__typename': 'TitleText'}","{'year': 1899, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1899, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f90,tt0000276,"{'text': ""Bataille d'oreillers"", '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f92,tt0000566,"{'text': 'Professorens Morgenavis', '__typename': 'TitleText'}","{'year': 1906, 'endYear': None, '__typename': 'YearRange'}","{'day': 24, 'month': 3, 'year': 1906, '__typename': 'ReleaseDate'}"
61e57fd7d8a2362a33777f94,tt0000328,"{'text': 'La petite magicienne', '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7d8a2362a33777f96,tt0000488,"{'text': 'The Land Beyond the Sunset', '__typename': 'TitleText'}","{'year': 1912, 'endYear': None, '__typename': 'YearRange'}","{'day': 28, 'month': 10, 'year': 1912, '__typename': 'ReleaseDate'}"
